file,path,exists,size_mb,pandas_readable,pandas_error,duckdb_readable,duckdb_error,columns,rows,nonnull_rate_json,date_min,date_max,n_code,duplicate_key_rows_est,key_fields,list_date_min,list_date_max,n_tracking_index,n_index_code,report_date_min,report_date_max,n_industry,delist_date_min,delist_date_max
data_status_report.csv,data/raw/data_status_report.csv,True,0.004,True,,True,,file;path;exists;pandas_readable;pandas_error;duckdb_readable;duckdb_error;rows;columns;date_min;date_max;nonnull_rate;n_code;error,24,{},,,,,,,,,,,,,,
etf_daily.parquet,data/raw/etf_daily.parquet,True,2.1344,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,701945,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.3238, ""amount"": 0.3237}",2014-01-02,2026-04-17,235.0,0.0,date;code,,,,,,,,,
part_0000_2014.parquet,data/raw/etf_daily_parts/part_0000_2014.parquet,True,0.0067,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14700,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.0, ""amount"": 0.0}",2014-01-02,2014-12-31,60.0,0.0,date;code,,,,,,,,,
part_0000_2015.parquet,data/raw/etf_daily_parts/part_0000_2015.parquet,True,0.0066,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14640,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.0, ""amount"": 0.0}",2015-01-05,2015-12-31,60.0,0.0,date;code,,,,,,,,,
part_0000_2016.parquet,data/raw/etf_daily_parts/part_0000_2016.parquet,True,0.0066,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14640,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.0, ""amount"": 0.0}",2016-01-04,2016-12-30,60.0,0.0,date;code,,,,,,,,,
part_0000_2017.parquet,data/raw/etf_daily_parts/part_0000_2017.parquet,True,0.0066,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14640,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.0, ""amount"": 0.0}",2017-01-03,2017-12-29,60.0,0.0,date;code,,,,,,,,,
part_0000_2018.parquet,data/raw/etf_daily_parts/part_0000_2018.parquet,True,0.0066,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14580,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.0, ""amount"": 0.0}",2018-01-02,2018-12-28,60.0,0.0,date;code,,,,,,,,,
part_0000_2019.parquet,data/raw/etf_daily_parts/part_0000_2019.parquet,True,0.0067,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14640,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.0, ""amount"": 0.0}",2019-01-02,2019-12-31,60.0,0.0,date;code,,,,,,,,,
part_0000_2020.parquet,data/raw/etf_daily_parts/part_0000_2020.parquet,True,0.0066,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14580,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.0, ""amount"": 0.0}",2020-01-02,2020-12-31,60.0,0.0,date;code,,,,,,,,,
part_0000_2021.parquet,data/raw/etf_daily_parts/part_0000_2021.parquet,True,0.0066,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14580,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.0, ""amount"": 0.0}",2021-01-04,2021-12-31,60.0,0.0,date;code,,,,,,,,,
part_0000_2022.parquet,data/raw/etf_daily_parts/part_0000_2022.parquet,True,0.0125,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14520,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.0318, ""amount"": 0.0318}",2022-01-04,2022-12-30,60.0,0.0,date;code,,,,,,,,,
part_0000_2023.parquet,data/raw/etf_daily_parts/part_0000_2023.parquet,True,0.0255,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14520,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.1114, ""amount"": 0.1114}",2023-01-03,2023-12-29,60.0,0.0,date;code,,,,,,,,,
part_0000_2024.parquet,data/raw/etf_daily_parts/part_0000_2024.parquet,True,0.0603,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14520,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.3409, ""amount"": 0.3409}",2024-01-02,2024-12-31,60.0,0.0,date;code,,,,,,,,,
part_0000_2025.parquet,data/raw/etf_daily_parts/part_0000_2025.parquet,True,0.1393,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14580,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.8708, ""amount"": 0.8708}",2025-01-02,2025-12-31,60.0,0.0,date;code,,,,,,,,,
part_0000_2026.parquet,data/raw/etf_daily_parts/part_0000_2026.parquet,True,0.0483,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,4080,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.9951, ""amount"": 0.9951}",2026-01-05,2026-04-17,60.0,0.0,date;code,,,,,,,,,
part_0001_2014.parquet,data/raw/etf_daily_parts/part_0001_2014.parquet,True,0.0457,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14700,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.2491, ""amount"": 0.2491}",2014-01-02,2014-12-31,60.0,0.0,date;code,,,,,,,,,
part_0001_2015.parquet,data/raw/etf_daily_parts/part_0001_2015.parquet,True,0.0526,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14640,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.2687, ""amount"": 0.2687}",2015-01-05,2015-12-31,60.0,0.0,date;code,,,,,,,,,
part_0001_2016.parquet,data/raw/etf_daily_parts/part_0001_2016.parquet,True,0.0566,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14640,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.3173, ""amount"": 0.3173}",2016-01-04,2016-12-30,60.0,0.0,date;code,,,,,,,,,
part_0001_2017.parquet,data/raw/etf_daily_parts/part_0001_2017.parquet,True,0.0602,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14640,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.3439, ""amount"": 0.3439}",2017-01-03,2017-12-29,60.0,0.0,date;code,,,,,,,,,
part_0001_2018.parquet,data/raw/etf_daily_parts/part_0001_2018.parquet,True,0.0749,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14580,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.4428, ""amount"": 0.4428}",2018-01-02,2018-12-28,60.0,0.0,date;code,,,,,,,,,
part_0001_2019.parquet,data/raw/etf_daily_parts/part_0001_2019.parquet,True,0.0876,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14640,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.5374, ""amount"": 0.5374}",2019-01-02,2019-12-31,60.0,0.0,date;code,,,,,,,,,
part_0001_2020.parquet,data/raw/etf_daily_parts/part_0001_2020.parquet,True,0.1158,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14580,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.6968, ""amount"": 0.6968}",2020-01-02,2020-12-31,60.0,0.0,date;code,,,,,,,,,
part_0001_2021.parquet,data/raw/etf_daily_parts/part_0001_2021.parquet,True,0.1289,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14580,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.7977, ""amount"": 0.7977}",2021-01-04,2021-12-31,60.0,0.0,date;code,,,,,,,,,
part_0001_2022.parquet,data/raw/etf_daily_parts/part_0001_2022.parquet,True,0.1357,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14520,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.8363, ""amount"": 0.8363}",2022-01-04,2022-12-30,60.0,0.0,date;code,,,,,,,,,
part_0001_2023.parquet,data/raw/etf_daily_parts/part_0001_2023.parquet,True,0.153,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14520,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.9415, ""amount"": 0.9415}",2023-01-03,2023-12-29,60.0,0.0,date;code,,,,,,,,,
part_0001_2024.parquet,data/raw/etf_daily_parts/part_0001_2024.parquet,True,0.1546,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14520,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.958, ""amount"": 0.958}",2024-01-02,2024-12-31,60.0,0.0,date;code,,,,,,,,,
part_0001_2025.parquet,data/raw/etf_daily_parts/part_0001_2025.parquet,True,0.1642,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14580,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.9948, ""amount"": 0.9948}",2025-01-02,2025-12-31,60.0,0.0,date;code,,,,,,,,,
part_0001_2026.parquet,data/raw/etf_daily_parts/part_0001_2026.parquet,True,0.0532,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,4080,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 1.0, ""amount"": 1.0}",2026-01-05,2026-04-17,60.0,0.0,date;code,,,,,,,,,
part_0002_2014.parquet,data/raw/etf_daily_parts/part_0002_2014.parquet,True,0.0123,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14700,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.0333, ""amount"": 0.0333}",2014-01-02,2014-12-31,60.0,0.0,date;code,,,,,,,,,
part_0002_2015.parquet,data/raw/etf_daily_parts/part_0002_2015.parquet,True,0.0176,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14640,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.062, ""amount"": 0.062}",2015-01-05,2015-12-31,60.0,0.0,date;code,,,,,,,,,
part_0002_2016.parquet,data/raw/etf_daily_parts/part_0002_2016.parquet,True,0.0198,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14640,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.0861, ""amount"": 0.0861}",2016-01-04,2016-12-30,60.0,0.0,date;code,,,,,,,,,
part_0002_2017.parquet,data/raw/etf_daily_parts/part_0002_2017.parquet,True,0.022,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14640,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.1, ""amount"": 0.1}",2017-01-03,2017-12-29,60.0,0.0,date;code,,,,,,,,,
part_0002_2018.parquet,data/raw/etf_daily_parts/part_0002_2018.parquet,True,0.025,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14580,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.116, ""amount"": 0.116}",2018-01-02,2018-12-28,60.0,0.0,date;code,,,,,,,,,
