index_code,date,source,error,failure_table
000010.SH,2026-04-17,tushare,empty,tushare_failures
000015.SH,2026-04-17,tushare,empty,tushare_failures
000016.SH,2026-04-17,tushare,empty,tushare_failures
000050.SH,2026-04-17,tushare,empty,tushare_failures
000300.SH,2014-01-30,tushare,empty,tushare_failures
000300.SH,2014-02-28,tushare,empty,tushare_failures
000300.SH,2014-03-31,tushare,empty,tushare_failures
000300.SH,2014-04-30,tushare,empty,tushare_failures
000300.SH,2014-05-30,tushare,empty,tushare_failures
000300.SH,2014-06-30,tushare,empty,tushare_failures
000300.SH,2014-07-31,tushare,empty,tushare_failures
000300.SH,2014-08-29,tushare,empty,tushare_failures
000300.SH,2014-09-30,tushare,empty,tushare_failures
000300.SH,2014-10-31,tushare,empty,tushare_failures
000300.SH,2014-11-28,tushare,empty,tushare_failures
000300.SH,2014-12-31,tushare,empty,tushare_failures
000300.SH,2015-01-30,tushare,empty,tushare_failures
000300.SH,2015-02-27,tushare,empty,tushare_failures
000300.SH,2015-03-31,tushare,empty,tushare_failures
000300.SH,2015-04-30,tushare,empty,tushare_failures
000300.SH,2015-05-29,tushare,empty,tushare_failures
000300.SH,2015-06-30,tushare,empty,tushare_failures
000300.SH,2015-07-31,tushare,empty,tushare_failures
000300.SH,2015-08-31,tushare,empty,tushare_failures
000300.SH,2015-09-30,tushare,empty,tushare_failures
000300.SH,2015-10-30,tushare,empty,tushare_failures
000300.SH,2015-11-30,tushare,empty,tushare_failures
000300.SH,2015-12-31,tushare,empty,tushare_failures
000510.CSI,2014-01-30,tushare,empty,tushare_failures
000510.CSI,2014-02-28,tushare,empty,tushare_failures
000510.CSI,2014-03-31,tushare,empty,tushare_failures
000510.CSI,2014-04-30,tushare,empty,tushare_failures
000510.CSI,2014-05-30,tushare,empty,tushare_failures
000510.CSI,2014-06-30,tushare,empty,tushare_failures
000510.CSI,2014-07-31,tushare,empty,tushare_failures
000510.CSI,2014-08-29,tushare,empty,tushare_failures
000510.CSI,2014-09-30,tushare,empty,tushare_failures
000510.CSI,2014-10-31,tushare,empty,tushare_failures
000510.CSI,2014-11-28,tushare,empty,tushare_failures
000510.CSI,2014-12-31,tushare,empty,tushare_failures
000510.CSI,2015-01-30,tushare,empty,tushare_failures
000510.CSI,2015-02-27,tushare,empty,tushare_failures
000510.CSI,2015-03-31,tushare,empty,tushare_failures
000510.CSI,2015-04-30,tushare,empty,tushare_failures
000510.CSI,2015-05-29,tushare,empty,tushare_failures
000510.CSI,2015-06-30,tushare,empty,tushare_failures
000510.CSI,2015-07-31,tushare,empty,tushare_failures
000510.CSI,2015-08-31,tushare,empty,tushare_failures
000510.CSI,2015-09-30,tushare,empty,tushare_failures
000510.CSI,2015-10-30,tushare,empty,tushare_failures
000510.CSI,2015-11-30,tushare,empty,tushare_failures
000510.CSI,2015-12-31,tushare,empty,tushare_failures
000510.CSI,2016-01-29,tushare,empty,tushare_failures
000510.CSI,2016-02-29,tushare,empty,tushare_failures
000510.CSI,2016-03-31,tushare,empty,tushare_failures
000510.CSI,2016-04-29,tushare,empty,tushare_failures
000510.CSI,2016-05-31,tushare,empty,tushare_failures
000510.CSI,2016-06-30,tushare,empty,tushare_failures
000510.CSI,2016-07-29,tushare,empty,tushare_failures
000510.CSI,2016-08-31,tushare,empty,tushare_failures
000510.CSI,2016-09-30,tushare,empty,tushare_failures
000510.CSI,2016-10-31,tushare,empty,tushare_failures
000510.CSI,2016-11-30,tushare,empty,tushare_failures
000510.CSI,2016-12-30,tushare,empty,tushare_failures
000510.CSI,2017-01-26,tushare,empty,tushare_failures
000510.CSI,2017-02-28,tushare,empty,tushare_failures
000510.CSI,2017-03-31,tushare,empty,tushare_failures
000510.CSI,2017-04-28,tushare,empty,tushare_failures
000510.CSI,2017-05-31,tushare,empty,tushare_failures
000510.CSI,2017-06-30,tushare,empty,tushare_failures
000510.CSI,2017-07-31,tushare,empty,tushare_failures
000510.CSI,2017-08-31,tushare,empty,tushare_failures
000510.CSI,2017-09-29,tushare,empty,tushare_failures
000510.CSI,2017-10-31,tushare,empty,tushare_failures
000510.CSI,2017-11-30,tushare,empty,tushare_failures
