index_code,n_dates,min_date,max_date,min_stock_n,max_stock_n,min_weight_sum,max_weight_sum,data_file,source,weight_normalized,pit_status,known_limitations
000010.SH,147,2014-01-30,2026-03-31,180,180,0.9999999999999988,1.000000000000001,/Users/shenboheng/Documents/ClaudeCode/ETF行业轮动/etf_style_rotation 3/data/raw/index_constituents.parquet,tushare.index_weight,True,historical_weight_from_tushare_monthly_snapshot,
000015.SH,147,2014-01-30,2026-03-31,50,50,0.9999999999999996,1.0000000000000007,/Users/shenboheng/Documents/ClaudeCode/ETF行业轮动/etf_style_rotation 3/data/raw/index_constituents.parquet,tushare.index_weight,True,historical_weight_from_tushare_monthly_snapshot,
000016.SH,147,2014-01-30,2026-03-31,50,50,0.9999999999999993,1.0000000000000004,/Users/shenboheng/Documents/ClaudeCode/ETF行业轮动/etf_style_rotation 3/data/raw/index_constituents.parquet,tushare.index_weight,True,historical_weight_from_tushare_monthly_snapshot,
000050.SH,147,2014-01-30,2026-03-31,50,50,0.9999999999999996,1.0000000000000004,/Users/shenboheng/Documents/ClaudeCode/ETF行业轮动/etf_style_rotation 3/data/raw/index_constituents.parquet,tushare.index_weight,True,historical_weight_from_tushare_monthly_snapshot,
000300.SH,124,2016-01-29,2026-04-17,300,300,0.9999999999999987,1.0000000000000013,/Users/shenboheng/Documents/ClaudeCode/ETF行业轮动/etf_style_rotation 3/data/raw/index_constituents.parquet,tushare.index_weight,True,historical_weight_from_tushare_monthly_snapshot,Tushare current pull starts 2016-01-29; 2014-2015 need iFinD/other source if required.
000510.CSI,18,2024-10-31,2026-03-31,500,500,0.999999999999998,1.000000000000001,/Users/shenboheng/Documents/ClaudeCode/ETF行业轮动/etf_style_rotation 3/data/raw/index_constituents.parquet,tushare.index_weight,True,historical_weight_from_tushare_monthly_snapshot,
000688.SH,69,2020-07-31,2026-03-31,50,50,0.9999999999999994,1.0000000000000004,/Users/shenboheng/Documents/ClaudeCode/ETF行业轮动/etf_style_rotation 3/data/raw/index_constituents.parquet,tushare.index_weight,True,historical_weight_from_tushare_monthly_snapshot,
000698.SH,32,2023-08-31,2026-03-31,100,100,0.9999999999999994,1.0000000000000004,/Users/shenboheng/Documents/ClaudeCode/ETF行业轮动/etf_style_rotation 3/data/raw/index_constituents.parquet,tushare.index_weight,True,historical_weight_from_tushare_monthly_snapshot,
000852.SH,131,2015-05-29,2026-03-31,1000,1002,0.9999999999999977,1.0000000000000047,/Users/shenboheng/Documents/ClaudeCode/ETF行业轮动/etf_style_rotation 3/data/raw/index_constituents.parquet,tushare.index_weight,True,historical_weight_from_tushare_monthly_snapshot,Early incomplete Tushare snapshots removed; starts 2015-05-29.
000905.SH,147,2014-01-30,2026-03-31,500,500,0.9999999999999977,1.000000000000003,/Users/shenboheng/Documents/ClaudeCode/ETF行业轮动/etf_style_rotation 3/data/raw/index_constituents.parquet,tushare.index_weight,True,historical_weight_from_tushare_monthly_snapshot,
000906.SH,147,2014-01-30,2026-03-31,800,800,0.9999999999999947,1.0000000000000122,/Users/shenboheng/Documents/ClaudeCode/ETF行业轮动/etf_style_rotation 3/data/raw/index_constituents.parquet,tushare.index_weight,True,historical_weight_from_tushare_monthly_snapshot,
000922.SH,59,2014-01-30,2018-11-30,100,100,0.9999999999999992,1.0000000000000004,/Users/shenboheng/Documents/ClaudeCode/ETF行业轮动/etf_style_rotation 3/data/raw/index_constituents.parquet,tushare.index_weight,True,historical_weight_from_tushare_monthly_snapshot,Tushare current pull ends 2018-11-30; later snapshots need iFinD/other source.
000985.CSI,147,2014-01-30,2026-03-31,2405,5171,0.9999999999999156,1.000000000000106,/Users/shenboheng/Documents/ClaudeCode/ETF行业轮动/etf_style_rotation 3/data/raw/index_constituents.parquet,tushare.index_weight,True,historical_weight_from_tushare_monthly_snapshot,
399006.SZ,147,2014-01-30,2026-03-31,100,100,0.9999999999999992,1.0000000000000009,/Users/shenboheng/Documents/ClaudeCode/ETF行业轮动/etf_style_rotation 3/data/raw/index_constituents.parquet,tushare.index_weight,True,historical_weight_from_tushare_monthly_snapshot,
399330.SZ,143,2014-01-30,2026-03-31,100,100,0.9999999999999994,1.0000000000000007,/Users/shenboheng/Documents/ClaudeCode/ETF行业轮动/etf_style_rotation 3/data/raw/index_constituents.parquet,tushare.index_weight,True,historical_weight_from_tushare_monthly_snapshot,
399673.SZ,113,2014-06-30,2026-03-31,50,50,0.9999999999999994,1.0000000000000007,/Users/shenboheng/Documents/ClaudeCode/ETF行业轮动/etf_style_rotation 3/data/raw/index_constituents.parquet,tushare.index_weight,True,historical_weight_from_tushare_monthly_snapshot,
899050.BJ,40,2022-12-30,2026-03-31,50,100,0.9999999999999996,1.0000000000000004,/Users/shenboheng/Documents/ClaudeCode/ETF行业轮动/etf_style_rotation 3/data/raw/index_constituents.parquet,tushare.index_weight,True,historical_weight_from_tushare_monthly_snapshot,Some snapshots have 100 constituents for 北证50; needs iFinD/manual verification.
