path,name,size,mtime,index_code,date,duckdb_rows,duckdb_ok,columns,pandas_ok,pandas_rows,pandas_error
data/raw/index_constituents_parts_alt/tushare_000010.SH_2014-01-30.parquet,tushare_000010.SH_2014-01-30.parquet,5526,2026-06-12 14:41:38.581171,000010.SH,2014-01-30,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2014-02-28.parquet,tushare_000010.SH_2014-02-28.parquet,5524,2026-06-12 14:41:39.164560,000010.SH,2014-02-28,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2014-03-31.parquet,tushare_000010.SH_2014-03-31.parquet,5541,2026-06-12 14:41:39.733724,000010.SH,2014-03-31,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2014-04-30.parquet,tushare_000010.SH_2014-04-30.parquet,5520,2026-06-12 14:41:40.317134,000010.SH,2014-04-30,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2014-05-30.parquet,tushare_000010.SH_2014-05-30.parquet,5519,2026-06-12 14:41:40.904890,000010.SH,2014-05-30,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2014-06-30.parquet,tushare_000010.SH_2014-06-30.parquet,5526,2026-06-12 14:41:41.484456,000010.SH,2014-06-30,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2014-07-31.parquet,tushare_000010.SH_2014-07-31.parquet,5529,2026-06-12 14:41:42.127930,000010.SH,2014-07-31,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2014-08-29.parquet,tushare_000010.SH_2014-08-29.parquet,5520,2026-06-12 14:41:42.699553,000010.SH,2014-08-29,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2014-09-30.parquet,tushare_000010.SH_2014-09-30.parquet,5508,2026-06-12 14:41:43.325970,000010.SH,2014-09-30,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2014-10-31.parquet,tushare_000010.SH_2014-10-31.parquet,5530,2026-06-12 14:41:43.925246,000010.SH,2014-10-31,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2014-11-28.parquet,tushare_000010.SH_2014-11-28.parquet,5493,2026-06-12 14:41:44.497498,000010.SH,2014-11-28,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2014-12-31.parquet,tushare_000010.SH_2014-12-31.parquet,5485,2026-06-12 14:41:45.088292,000010.SH,2014-12-31,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2015-01-30.parquet,tushare_000010.SH_2015-01-30.parquet,5511,2026-06-12 14:41:45.678697,000010.SH,2015-01-30,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2015-02-27.parquet,tushare_000010.SH_2015-02-27.parquet,5524,2026-06-12 14:41:46.355410,000010.SH,2015-02-27,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2015-03-31.parquet,tushare_000010.SH_2015-03-31.parquet,5503,2026-06-12 14:41:46.935999,000010.SH,2015-03-31,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2015-04-30.parquet,tushare_000010.SH_2015-04-30.parquet,5525,2026-06-12 14:41:47.513600,000010.SH,2015-04-30,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2015-05-29.parquet,tushare_000010.SH_2015-05-29.parquet,5532,2026-06-12 14:41:48.093569,000010.SH,2015-05-29,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2015-06-30.parquet,tushare_000010.SH_2015-06-30.parquet,5936,2026-06-12 14:41:48.829841,000010.SH,2015-06-30,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2015-07-31.parquet,tushare_000010.SH_2015-07-31.parquet,5912,2026-06-12 14:41:49.515249,000010.SH,2015-07-31,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2015-08-31.parquet,tushare_000010.SH_2015-08-31.parquet,5899,2026-06-12 14:41:50.288888,000010.SH,2015-08-31,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2015-09-30.parquet,tushare_000010.SH_2015-09-30.parquet,5940,2026-06-12 14:41:50.856406,000010.SH,2015-09-30,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2015-10-30.parquet,tushare_000010.SH_2015-10-30.parquet,5948,2026-06-12 14:41:51.437383,000010.SH,2015-10-30,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2015-11-30.parquet,tushare_000010.SH_2015-11-30.parquet,5911,2026-06-12 14:41:52.122550,000010.SH,2015-11-30,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2015-12-31.parquet,tushare_000010.SH_2015-12-31.parquet,5933,2026-06-12 14:41:52.701310,000010.SH,2015-12-31,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2016-01-29.parquet,tushare_000010.SH_2016-01-29.parquet,5949,2026-06-12 14:41:53.285672,000010.SH,2016-01-29,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2016-02-29.parquet,tushare_000010.SH_2016-02-29.parquet,5934,2026-06-12 14:41:53.860947,000010.SH,2016-02-29,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2016-03-31.parquet,tushare_000010.SH_2016-03-31.parquet,5924,2026-06-12 14:41:54.450011,000010.SH,2016-03-31,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2016-04-29.parquet,tushare_000010.SH_2016-04-29.parquet,5923,2026-06-12 14:41:55.032422,000010.SH,2016-04-29,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2016-05-31.parquet,tushare_000010.SH_2016-05-31.parquet,5929,2026-06-12 14:41:55.659528,000010.SH,2016-05-31,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2016-06-30.parquet,tushare_000010.SH_2016-06-30.parquet,5914,2026-06-12 14:41:56.389794,000010.SH,2016-06-30,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2016-07-29.parquet,tushare_000010.SH_2016-07-29.parquet,5961,2026-06-12 14:41:56.998865,000010.SH,2016-07-29,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2016-08-31.parquet,tushare_000010.SH_2016-08-31.parquet,5926,2026-06-12 14:41:57.585630,000010.SH,2016-08-31,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
data/raw/index_constituents_parts_alt/tushare_000010.SH_2016-09-30.parquet,tushare_000010.SH_2016-09-30.parquet,5922,2026-06-12 14:41:58.161499,000010.SH,2016-09-30,180,True,date;index_code;code;weight;source;snapshot_quality,False,,OSError: Repetition level histogram size mismatch
