alpha_set,fold,train_start,train_end,train_trading_days,train_total_return,train_annual_return,train_annual_volatility,train_sharpe_rf0,train_max_drawdown,train_calmar,test_start,test_end,test_trading_days,test_total_return,test_annual_return,test_annual_volatility,test_sharpe_rf0,test_max_drawdown,test_calmar
A_45_35_20,2020_2022_to_2023,2020-02-04,2022-12-30,711.0,0.3830052132964843,0.12179174291807637,0.0808440924493458,1.5065014551853246,-0.0663783094391156,1.8348123648703019,2023-01-03,2023-12-29,242,-0.001917359664121543,-0.0019965102591729122,0.043037123457716035,-0.04639042061290372,-0.03255151807879142,-0.061333860200938416
A_45_35_20,2020_2023_to_2024,2020-02-04,2023-12-29,954.0,0.38029381298655696,0.088863938015743,0.07315442051187764,1.2147446100173085,-0.0663783094391156,1.3387496422645708,2024-01-02,2024-12-31,243,0.05997976288767504,0.06226903241688264,0.06161714438529473,1.010579653408013,-0.042922346377941456,1.4507369161179824
A_45_35_20,2020_2024_to_2025,2020-02-04,2024-12-31,1198.0,0.46231100051227214,0.08321884576117355,0.07093857622182606,1.173111305489793,-0.0663783094391156,1.2537054116677173,2025-01-02,2025-12-31,243,0.3583774919654157,0.3738748109515684,0.14437142355867352,2.589673231279202,-0.0758513764828096,4.929044511622022
A_45_35_20,2020_2025_to_2026,2020-02-04,2025-12-31,1441.0,0.9796308514091601,0.12685028570345858,0.0879471452953168,1.4423468240783635,-0.07585137648280971,1.672353114543766,2026-01-05,2026-06-05,100,0.09662501616882513,0.2616722031615242,0.14073282242905172,1.8593544749906668,-0.04484964044535711,5.83443257433322
A_45_35_20,full_2020_2026,,,,,,,,,,2020-02-04,2026-06-05,1541,1.1796282932137747,0.1358885954653537,0.09232223104359048,1.4718946230967176,-0.07585137648280971,1.791511265404001
B_40_40_20,2020_2022_to_2023,2020-02-04,2022-12-30,711.0,0.36875889120944616,0.11768240416591746,0.08150773478762072,1.4438188531745444,-0.06398485253809583,1.8392228706919462,2023-01-03,2023-12-29,242,-0.0012443003325344204,-0.0012956843771961823,0.04722989783342458,-0.027433562989400053,-0.03161244391917395,-0.04098652987756852
B_40_40_20,2020_2023_to_2024,2020-02-04,2023-12-29,954.0,0.36724369849446226,0.086135054765063,0.0743441475504283,1.1585989967352417,-0.06398485253809583,1.346178843090702,2024-01-02,2024-12-31,243,0.054036939716655574,0.05609343683175694,0.056506670002795925,0.9926870018881215,-0.033165896168819486,1.6912986926761382
B_40_40_20,2020_2024_to_2025,2020-02-04,2024-12-31,1198.0,0.44036444961589405,0.07977871098173805,0.07106125658377155,1.1226752075188793,-0.06398485253809583,1.2468374594477458,2025-01-02,2025-12-31,243,0.32472927671262153,0.3385985850172384,0.1501613043211646,2.254899067026247,-0.07642885481804196,4.4302454331333
B_40_40_20,2020_2025_to_2026,2020-02-04,2025-12-31,1441.0,0.9011240925061965,0.11890431190930406,0.08961771367826958,1.3267947488168945,-0.07642885481804207,1.5557515835136533,2026-01-05,2026-06-05,100,0.10923958303276105,0.29856563156858984,0.14858521925818285,2.009389850882811,-0.04945604411241733,6.03698975376857
B_40_40_20,full_2020_2026,,,,,,,,,,2020-02-04,2026-06-05,1541,1.1230507960989424,0.1310137612085498,0.09463113873797493,1.3844677656401774,-0.07642885481804207,1.714192388731464
