date,alpha_set,fold,stitched_nav
2023-01-03,A_45_35_20,2020_2022_to_2023,1.0
2023-01-04,A_45_35_20,2020_2022_to_2023,0.9996976713225021
2023-01-05,A_45_35_20,2020_2022_to_2023,0.9970643779725693
2023-01-06,A_45_35_20,2020_2022_to_2023,0.9946151922935289
2023-01-09,A_45_35_20,2020_2022_to_2023,0.99720898862635
2023-01-10,A_45_35_20,2020_2022_to_2023,0.9975593992388633
2023-01-11,A_45_35_20,2020_2022_to_2023,0.9987438498091851
2023-01-12,A_45_35_20,2020_2022_to_2023,1.0002422210689053
2023-01-13,A_45_35_20,2020_2022_to_2023,1.0015212439638093
2023-01-16,A_45_35_20,2020_2022_to_2023,1.0031034978148634
2023-01-17,A_45_35_20,2020_2022_to_2023,1.0033849574620912
2023-01-18,A_45_35_20,2020_2022_to_2023,1.0049713429039613
2023-01-19,A_45_35_20,2020_2022_to_2023,1.0059005041582267
2023-01-20,A_45_35_20,2020_2022_to_2023,1.0075356101296822
2023-01-30,A_45_35_20,2020_2022_to_2023,1.0082687430241752
2023-01-31,A_45_35_20,2020_2022_to_2023,1.0065392345562765
2023-02-01,A_45_35_20,2020_2022_to_2023,1.0076745414572053
2023-02-02,A_45_35_20,2020_2022_to_2023,1.010366158412652
2023-02-03,A_45_35_20,2020_2022_to_2023,1.0043885860024724
2023-02-06,A_45_35_20,2020_2022_to_2023,0.9994025276496334
2023-02-07,A_45_35_20,2020_2022_to_2023,0.9962509245499426
2023-02-08,A_45_35_20,2020_2022_to_2023,0.996592213477744
2023-02-09,A_45_35_20,2020_2022_to_2023,0.9971784389105864
2023-02-10,A_45_35_20,2020_2022_to_2023,0.9957697682495473
2023-02-13,A_45_35_20,2020_2022_to_2023,0.9968825742295918
2023-02-14,A_45_35_20,2020_2022_to_2023,0.9958266541185451
2023-02-15,A_45_35_20,2020_2022_to_2023,0.9946379562148424
2023-02-16,A_45_35_20,2020_2022_to_2023,0.9922057361576474
2023-02-17,A_45_35_20,2020_2022_to_2023,0.9925799573627606
2023-02-20,A_45_35_20,2020_2022_to_2023,0.9943524598008142
2023-02-21,A_45_35_20,2020_2022_to_2023,0.9959662021294479
2023-02-22,A_45_35_20,2020_2022_to_2023,0.9992640924554661
2023-02-23,A_45_35_20,2020_2022_to_2023,0.9967078943520808
2023-02-24,A_45_35_20,2020_2022_to_2023,0.9962850918324587
2023-02-27,A_45_35_20,2020_2022_to_2023,0.9935441853222654
2023-02-28,A_45_35_20,2020_2022_to_2023,0.9925872871325568
2023-03-01,A_45_35_20,2020_2022_to_2023,0.9924894929376604
2023-03-02,A_45_35_20,2020_2022_to_2023,0.9919873448208455
2023-03-03,A_45_35_20,2020_2022_to_2023,0.9944721600279808
2023-03-06,A_45_35_20,2020_2022_to_2023,0.9959942345621368
2023-03-07,A_45_35_20,2020_2022_to_2023,0.9930864685213528
2023-03-08,A_45_35_20,2020_2022_to_2023,0.9905603817799883
2023-03-09,A_45_35_20,2020_2022_to_2023,0.9906996408454275
2023-03-10,A_45_35_20,2020_2022_to_2023,0.9884004172297624
2023-03-13,A_45_35_20,2020_2022_to_2023,0.9909066734411175
2023-03-14,A_45_35_20,2020_2022_to_2023,0.9905983556738942
2023-03-15,A_45_35_20,2020_2022_to_2023,0.9881063311063715
2023-03-16,A_45_35_20,2020_2022_to_2023,0.9866177501231032
2023-03-17,A_45_35_20,2020_2022_to_2023,0.9875792854011036
2023-03-20,A_45_35_20,2020_2022_to_2023,0.9921040667873701
2023-03-21,A_45_35_20,2020_2022_to_2023,0.99365016644772
2023-03-22,A_45_35_20,2020_2022_to_2023,0.9934690246484658
2023-03-23,A_45_35_20,2020_2022_to_2023,0.9974994942755211
2023-03-24,A_45_35_20,2020_2022_to_2023,0.9946667734639586
2023-03-27,A_45_35_20,2020_2022_to_2023,0.9956159625744263
2023-03-28,A_45_35_20,2020_2022_to_2023,0.9957018203360568
2023-03-29,A_45_35_20,2020_2022_to_2023,0.9969085936680151
2023-03-30,A_45_35_20,2020_2022_to_2023,1.000430436347582
2023-03-31,A_45_35_20,2020_2022_to_2023,1.0029744988853266
2023-04-03,A_45_35_20,2020_2022_to_2023,1.0015879413983348
2023-04-04,A_45_35_20,2020_2022_to_2023,1.0033435826333383
2023-04-06,A_45_35_20,2020_2022_to_2023,1.0023083589990405
2023-04-07,A_45_35_20,2020_2022_to_2023,1.0079778527534744
2023-04-10,A_45_35_20,2020_2022_to_2023,0.9944799046568964
2023-04-11,A_45_35_20,2020_2022_to_2023,1.000318164433458
2023-04-12,A_45_35_20,2020_2022_to_2023,1.0099833378387595
2023-04-13,A_45_35_20,2020_2022_to_2023,1.0063155294216726
2023-04-14,A_45_35_20,2020_2022_to_2023,1.0076699797979094
2023-04-17,A_45_35_20,2020_2022_to_2023,1.0010373345779169
2023-04-18,A_45_35_20,2020_2022_to_2023,1.001631237442274
2023-04-19,A_45_35_20,2020_2022_to_2023,1.0015838588156112
2023-04-20,A_45_35_20,2020_2022_to_2023,1.0096836604949968
2023-04-21,A_45_35_20,2020_2022_to_2023,0.9998145392427029
2023-04-24,A_45_35_20,2020_2022_to_2023,1.0037969171600112
2023-04-25,A_45_35_20,2020_2022_to_2023,1.007274114505064
2023-04-26,A_45_35_20,2020_2022_to_2023,1.0028608732945792
2023-04-27,A_45_35_20,2020_2022_to_2023,0.9964022859097742
2023-04-28,A_45_35_20,2020_2022_to_2023,1.0090566171461783
2023-05-04,A_45_35_20,2020_2022_to_2023,1.0143268564294952
2023-05-05,A_45_35_20,2020_2022_to_2023,1.0153800681744107
2023-05-08,A_45_35_20,2020_2022_to_2023,1.0173101748113604
2023-05-09,A_45_35_20,2020_2022_to_2023,1.012982035561159
2023-05-10,A_45_35_20,2020_2022_to_2023,1.0100521702797822
2023-05-11,A_45_35_20,2020_2022_to_2023,1.0105384538602917
2023-05-12,A_45_35_20,2020_2022_to_2023,1.007153592843244
2023-05-15,A_45_35_20,2020_2022_to_2023,1.0095074277977318
2023-05-16,A_45_35_20,2020_2022_to_2023,1.0069429655113644
2023-05-17,A_45_35_20,2020_2022_to_2023,1.004586358362705
2023-05-18,A_45_35_20,2020_2022_to_2023,1.0069335902769596
2023-05-19,A_45_35_20,2020_2022_to_2023,1.0046343534087816
2023-05-22,A_45_35_20,2020_2022_to_2023,1.0051658512948962
2023-05-23,A_45_35_20,2020_2022_to_2023,1.0023623332633367
2023-05-24,A_45_35_20,2020_2022_to_2023,0.9995046635404291
2023-05-25,A_45_35_20,2020_2022_to_2023,0.9967539554397512
2023-05-26,A_45_35_20,2020_2022_to_2023,0.998942762157362
2023-05-29,A_45_35_20,2020_2022_to_2023,0.9982809648919104
2023-05-30,A_45_35_20,2020_2022_to_2023,1.0011802010121655
2023-05-31,A_45_35_20,2020_2022_to_2023,1.0003043478744118
2023-06-01,A_45_35_20,2020_2022_to_2023,1.002281918637526
2023-06-02,A_45_35_20,2020_2022_to_2023,1.0031894932339784
2023-06-05,A_45_35_20,2020_2022_to_2023,1.0034284765760073
2023-06-06,A_45_35_20,2020_2022_to_2023,1.0005132743963558
2023-06-07,A_45_35_20,2020_2022_to_2023,0.9995570943516991
2023-06-08,A_45_35_20,2020_2022_to_2023,1.0001055431332961
2023-06-09,A_45_35_20,2020_2022_to_2023,1.0036230523294067
2023-06-12,A_45_35_20,2020_2022_to_2023,1.0042905571333798
2023-06-13,A_45_35_20,2020_2022_to_2023,1.0061361188433524
2023-06-14,A_45_35_20,2020_2022_to_2023,1.006191572049103
2023-06-15,A_45_35_20,2020_2022_to_2023,1.0076727330215585
2023-06-16,A_45_35_20,2020_2022_to_2023,1.0095069497399025
2023-06-19,A_45_35_20,2020_2022_to_2023,1.0113772725486916
2023-06-20,A_45_35_20,2020_2022_to_2023,1.0123507139123458
2023-06-21,A_45_35_20,2020_2022_to_2023,1.0095180554016285
2023-06-26,A_45_35_20,2020_2022_to_2023,1.008367608420258
2023-06-27,A_45_35_20,2020_2022_to_2023,1.009951908153242
2023-06-28,A_45_35_20,2020_2022_to_2023,1.0094593209129143
2023-06-29,A_45_35_20,2020_2022_to_2023,1.0100219006384583
2023-06-30,A_45_35_20,2020_2022_to_2023,1.0126676344563734
2023-07-03,A_45_35_20,2020_2022_to_2023,1.0147438001590767
2023-07-04,A_45_35_20,2020_2022_to_2023,1.0158894365708067
2023-07-05,A_45_35_20,2020_2022_to_2023,1.0137884921821851
2023-07-06,A_45_35_20,2020_2022_to_2023,1.0123086411200561
2023-07-07,A_45_35_20,2020_2022_to_2023,1.0111937971491092
