date,fund_code,weight,fund_name,fund_type
2018-01-31,511880,1.0,银华日利ETF,货币型-普通货币
2018-02-28,511880,1.0,银华日利ETF,货币型-普通货币
2018-03-30,511880,1.0,银华日利ETF,货币型-普通货币
2018-04-27,511880,1.0,银华日利ETF,货币型-普通货币
2018-05-31,511880,1.0,银华日利ETF,货币型-普通货币
2018-06-30,518800,0.072,黄金ETF国泰,指数型-其他
2018-06-30,159934,0.072,黄金ETF易方达,指数型-其他
2018-06-30,518880,0.072,黄金ETF华安,指数型-其他
2018-06-30,511880,0.784,银华日利ETF,货币型-普通货币
2018-07-31,511880,1.0,银华日利ETF,货币型-普通货币
2018-08-31,511880,1.0,银华日利ETF,货币型-普通货币
2018-09-28,511880,1.0,银华日利ETF,货币型-普通货币
2018-10-31,511880,1.0,银华日利ETF,货币型-普通货币
2018-11-30,511880,1.0,银华日利ETF,货币型-普通货币
2018-12-31,518880,0.072,黄金ETF华安,指数型-其他
2018-12-31,159934,0.072,黄金ETF易方达,指数型-其他
2018-12-31,518800,0.072,黄金ETF国泰,指数型-其他
2018-12-31,511880,0.784,银华日利ETF,货币型-普通货币
2019-01-31,511880,1.0,银华日利ETF,货币型-普通货币
2019-02-28,511880,1.0,银华日利ETF,货币型-普通货币
2019-03-29,511880,1.0,银华日利ETF,货币型-普通货币
2019-04-30,511880,1.0,银华日利ETF,货币型-普通货币
2019-05-31,511880,1.0,银华日利ETF,货币型-普通货币
2019-06-30,159937,0.072,黄金ETF博时,指数型-其他
2019-06-30,518800,0.072,黄金ETF国泰,指数型-其他
2019-06-30,518880,0.072,黄金ETF华安,指数型-其他
2019-06-30,511880,0.784,银华日利ETF,货币型-普通货币
2019-07-31,511880,1.0,银华日利ETF,货币型-普通货币
2019-08-30,511880,1.0,银华日利ETF,货币型-普通货币
2019-09-30,511880,1.0,银华日利ETF,货币型-普通货币
2019-10-31,511880,1.0,银华日利ETF,货币型-普通货币
2019-11-29,511880,1.0,银华日利ETF,货币型-普通货币
2019-12-31,511880,1.0,银华日利ETF,货币型-普通货币
2020-01-23,511880,1.0,银华日利ETF,货币型-普通货币
