ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
560890.SH,新华中证红利低波动ETF,新华基金管理股份有限公司,华福证券股份有限公司,股票型,20240902,20260212,20240920,20240815,20260401,4.2598,,,2.0,1.0,0.1,,中证红利低波动指数收益率×100%,D,,股票型,,20240920,20240920,E
159579.SZ,华安深证主板50ETF,华安基金管理有限公司,华泰证券股份有限公司,股票型,20240705,20250312,20240719,20240513,20250320,2.3087,,,1.0,1.0,0.1,,深证主板50指数收益率×100%,D,,股票型,,20240719,20240719,E
562260.SH,海富通中证汽车零部件主题ETF,海富通基金管理有限公司,光大证券股份有限公司,股票型,20240419,20250622,20240510,20240408,20250728,2.6233,,,1.0,1.0,0.1,,中证汽车零部件主题指数收益率×100%,D,,股票型,,20240510,20240510,E
159693.SZ,华泰柏瑞中证有色金属矿业主题ETF,华泰柏瑞基金管理有限公司,中国建设银行股份有限公司,股票型,20231130,20240606,20231214,20230825,20240607,2.479,,,1.0,1.0,0.1,,中证有色金属矿业主题指数收益率×100%,D,,股票型,,20231214,20231214,E
159522.SZ,景顺长城国证2000ETF,景顺长城基金管理有限公司,广发证券股份有限公司,股票型,20230913,20240821,20231016,20230904,20240828,3.739,,,1.0,1.0,0.1,,国证2000指数收益率×100%,D,,股票型,,20231016,20231016,E
159503.SZ,鹏扬国证财富管理ETF,鹏扬基金管理有限公司,华泰证券股份有限公司,股票型,20230629,20240718,20230720,20230608,20240719,3.1078,,,1.0,1.0,0.1,,国证财富管理指数收益率×100%,D,,股票型,,20230720,20230720,E
159683.SZ,嘉实中证内地运输主题ETF,嘉实基金管理有限公司,中国银行股份有限公司,股票型,20221229,20250107,20230109,20221219,20250115,4.2912,,,3.0,1.0,0.1,,中证内地运输主题指数收益率×100%,D,,股票型,,20230109,20230109,E
560960.SH,摩根中证碳中和60ETF,摩根基金管理(中国)有限公司,交通银行股份有限公司,股票型,20221229,20250421,20230113,20221212,20250626,3.466,,,3.0,1.0,0.1,,中证碳中和60指数收益率×100%,D,,股票型,,20230113,20230113,E
561710.SH,博时中证疫苗与生物技术ETF,博时基金管理有限公司,中信建投证券股份有限公司,股票型,20221108,20240725,20221125,20221017,20240920,4.016,,,2.0,1.0,0.1,,中证疫苗与生物技术指数×100%,D,,股票型,,20221125,20221125,E
159646.SZ,华泰柏瑞国证疫苗与生物科技ETF,华泰柏瑞基金管理有限公司,中国建设银行股份有限公司,股票型,20220811,20240604,20220822,20220721,20240605,4.9071,,,2.0,1.0,0.1,,国证疫苗与生物科技指数收益率×100%,D,,股票型,,20220822,20220822,E
561150.SH,富国中证500ESG基准ETF,富国基金管理有限公司,中国建设银行股份有限公司,股票型,20220728,20221115,20220808,20220426,20221227,2.2949,,,0.0,1.0,0.1,,中证500ESG基准指数收益率×100%,D,,股票型,,20220808,20220808,E
517760.SH,浦银安盛中证沪港深消费龙头ETF,浦银安盛基金管理有限公司,兴业银行股份有限公司,股票型,20220401,20240326,20220419,20211227,20240529,2.5105,,,2.0,1.0,0.1,,中证沪港深消费龙头指数收益率×100%,D,,股票型,,20220419,20220419,E
159833.SZ,大成上海金ETF,大成基金管理有限公司,上海浦东发展银行股份有限公司,其他,20220318,20230529,20220329,20211229,20230606,2.1242,,,1.0,1.0,0.1,,上海黄金交易所上海金集中定价合约午盘基准价格收益率×100%,D,,其他型,,20220329,20220329,E
517780.SH,浦银安盛中华交易服务沪深港300ETF,浦银安盛基金管理有限公司,海通证券股份有限公司,股票型,20220308,20230131,20220318,20211221,20231114,2.4345,,,1.0,1.0,0.1,,中华交易服务沪深港300指数收益率×100%,D,,股票型,,20220318,20220318,E
517500.SH,国泰中证沪港深动漫游戏ETF,国泰基金管理有限公司,中信建投证券股份有限公司,股票型,20220303,20231113,20220315,20211203,20231221,3.2811,,,1.0,1.0,0.1,,中证沪港深动漫游戏指数收益率×100%,D,,股票型,,20220315,20220315,E
513960.SH,博时中证港股通消费主题ETF,博时基金管理有限公司,平安银行股份有限公司,股票型,20220303,20240909,20220318,20211201,20241108,2.1493,,,2.0,1.0,0.1,,中证港股通消费主题指数(人民币)收益率×100%,D,,股票型,,20220318,20220318,E
560600.SH,方正富邦中证医药及医疗器械创新ETF,方正富邦基金管理有限公司,平安银行股份有限公司,股票型,20220303,20231110,20220315,20220110,20231229,2.3271,,,1.0,1.0,0.1,,中证医药及医疗器械创新指数收益率×100%,D,,股票型,,20220315,20220315,E
159832.SZ,平安上海金ETF,平安基金管理有限公司,平安银行股份有限公司,其他,20220302,20230322,20220318,20211125,20230330,2.3613,,,1.0,1.0,0.1,,上海金集中定价合约的午盘基准价格收益率×100%,D,,其他型,,20220318,20220318,E
159769.SZ,银华中证消费电子主题ETF,银华基金管理股份有限公司,招商银行股份有限公司,股票型,20220218,20240709,20220303,20211116,20240710,2.7445,,,2.0,1.0,0.1,,中证消费电子主题指数收益率×100%,D,,股票型,,20220303,20220303,E
517270.SH,浦银安盛中证沪港深科技龙头ETF,浦银安盛基金管理有限公司,光大证券股份有限公司,股票型,20211230,20240305,20220112,20210930,20240520,2.4059,,,3.0,1.0,0.1,,中证沪港深科技龙头指数收益率×100%,D,,股票型,,20220112,20220112,E
516690.SH,银华中证细分化工产业主题ETF,银华基金管理股份有限公司,中国工商银行股份有限公司,股票型,20211207,20240606,20211221,20210903,20240827,2.6924,,,3.0,1.0,0.1,,中证细分化工产业主题指数收益率×100%,D,,股票型,,20211221,20211221,E
159789.SZ,建信中证饮料主题ETF,建信基金管理有限责任公司,中国国际金融股份有限公司,股票型,20211125,20231017,20211220,20211108,20231025,2.5888,,,2.0,1.0,0.1,,中证饮料主题指数×100%,D,,股票型,,20211220,20211220,E
517960.SH,摩根中证沪港深科技100ETF,摩根基金管理(中国)有限公司,中国银行股份有限公司,股票型,20211122,20240705,20211223,20211012,20240904,2.0218,,,3.0,1.0,0.1,,中证沪港深科技100指数收益率×100%,D,,股票型,,20211223,20211223,E
517280.SH,天弘中证沪港深线上消费主题ETF,天弘基金管理有限公司,中信证券股份有限公司,股票型,20211116,20240705,20211203,20211011,20240826,2.3055,,,3.0,1.0,0.1,,中证沪港深线上消费主题指数×100%,D,,股票型,,20211203,20211203,E
