fold,candidate_id,factor_preset,risk_preset,portfolio_preset,w_combo_eff_accel,w_momentum_12_1,w_fund_hit_rate_20,w_vol_60d,w_max_drawdown_60d,top_n,max_per_theme,max_weight,volatility_target,weak_market_exposure,train_start,train_end,train_trading_days,train_total_return,train_annual_return,train_annual_volatility,train_sharpe_rf0,train_max_drawdown,train_calmar,test_start,test_end,test_trading_days,test_total_return,test_annual_return,test_annual_volatility,test_sharpe_rf0,test_max_drawdown,test_calmar,selection_score
2020_2022_to_2023,base__risk_light__balanced,base,risk_light,balanced,0.45,0.35,0.2,-0.15,0.1,20,3,0.12,0.18,0.6,2020-02-04,2022-12-30,711,0.40404526373036953,0.12781104220028916,0.08039956664555474,1.5896981480478636,-0.0640257143007894,1.996245470996851,2023-01-03,2023-12-29,242,-0.002267995071015827,-0.002361603126805445,0.04329695887913339,-0.05454431876839276,-0.033144408861891295,-0.07125193080516104,2.8229872089705323
2020_2022_to_2023,base__risk_light__defensive,base,risk_light,defensive,0.45,0.35,0.2,-0.15,0.1,25,3,0.1,0.15,0.5,2020-02-04,2022-12-30,711,0.22518076560957723,0.07463460086455931,0.07205705390917387,1.0357709178428856,-0.08176264108478981,0.9128203281393692,2023-01-03,2023-12-29,242,-0.017175459459317532,-0.017878807232775684,0.04324648358055919,-0.4134164388064336,-0.03298048876212678,-0.5421025552934453,1.4271417669506965
2020_2022_to_2023,base__risk_balanced__balanced,base,risk_balanced,balanced,0.45,0.35,0.2,-0.2,0.2,20,3,0.12,0.18,0.6,2020-02-04,2022-12-30,711,0.3233148210230532,0.10438659329523459,0.0793088462767312,1.3162036543943658,-0.06637830943911593,1.5726009622312078,2023-01-03,2023-12-29,242,0.008287196735328628,0.008631116578153186,0.04162221485765976,0.20736802709010083,-0.024225181339430968,0.35628697499590833,2.2497069313564495
2020_2022_to_2023,base__risk_balanced__defensive,base,risk_balanced,defensive,0.45,0.35,0.2,-0.2,0.2,25,3,0.1,0.15,0.5,2020-02-04,2022-12-30,711,0.1848270728249517,0.06195364195004793,0.07202865930060598,0.8601248801742825,-0.08171666823166446,0.7581518347567855,2023-01-03,2023-12-29,242,-0.011006143753414688,-0.011458327651377442,0.04390182921354932,-0.2609988662577432,-0.026577194426281037,-0.43113383104300873,1.1783327617031183
2020_2022_to_2023,base__risk_defensive__balanced,base,risk_defensive,balanced,0.45,0.35,0.2,-0.25,0.2,20,3,0.12,0.18,0.6,2020-02-04,2022-12-30,711,0.3014713506224054,0.09789069203100742,0.07737731163755668,1.26510846602603,-0.07083073616883773,1.3820369139982882,2023-01-03,2023-12-29,242,0.004723459221991577,0.004919122785386643,0.039485646889343876,0.12458002268956578,-0.021231309735618265,0.23169191381227786,2.028121124942388
2020_2022_to_2023,base__risk_defensive__defensive,base,risk_defensive,defensive,0.45,0.35,0.2,-0.25,0.2,25,3,0.1,0.15,0.5,2020-02-04,2022-12-30,711,0.1872693205243885,0.06272896467388223,0.07090199552645486,0.8847277739944128,-0.08178087854086347,0.7670370604118472,2023-01-03,2023-12-29,242,-0.013642939025296896,-0.014202674691696338,0.04010597963786899,-0.35412860675483526,-0.028011172937607687,-0.5070360574807592,1.1998749904755628
2020_2022_to_2023,mom_heavy__risk_light__balanced,mom_heavy,risk_light,balanced,0.35,0.45,0.2,-0.15,0.1,20,3,0.12,0.18,0.6,2020-02-04,2022-12-30,711,0.3552301336207997,0.11375440653606006,0.08186000756471606,1.3896212560954047,-0.0639848525380955,1.7778333781160567,2023-01-03,2023-12-29,242,-0.017348461165150986,-0.018058828191887866,0.04438620965346358,-0.4068567316938874,-0.036671815575822,-0.49244434474616483,2.4975287831627413
2020_2022_to_2023,mom_heavy__risk_light__defensive,mom_heavy,risk_light,defensive,0.35,0.45,0.2,-0.15,0.1,25,3,0.1,0.15,0.5,2020-02-04,2022-12-30,711,0.20815419722316442,0.06931746888295232,0.07365284342194886,0.9411377166505348,-0.08251586150534518,0.8400502354139767,2023-01-03,2023-12-29,242,-0.02892193895246209,-0.030098894896632644,0.04224798113041376,-0.7124339220783463,-0.04351357085898144,-0.6917128220567553,1.3040198974280477
2020_2022_to_2023,mom_heavy__risk_balanced__balanced,mom_heavy,risk_balanced,balanced,0.35,0.45,0.2,-0.2,0.2,20,3,0.12,0.18,0.6,2020-02-04,2022-12-30,711,0.33548093059085926,0.10797462584874484,0.0786635459581338,1.3726132547623895,-0.06715353668847346,1.6078769812175522,2023-01-03,2023-12-29,242,-0.0099375339238571,-0.010346044343977678,0.03843785767012587,-0.26916287668182626,-0.03492533011303922,-0.29623325851156457,2.3145941531788825
2020_2022_to_2023,mom_heavy__risk_balanced__defensive,mom_heavy,risk_balanced,defensive,0.35,0.45,0.2,-0.2,0.2,25,3,0.1,0.15,0.5,2020-02-04,2022-12-30,711,0.19409696420165945,0.06489103936420082,0.07254048863045137,0.8945492453846053,-0.08243873132329971,0.7871426248630372,2023-01-03,2023-12-29,242,-0.021648332911945567,-0.02253273864498717,0.03870682005726766,-0.5821387190073856,-0.037535233767008624,-0.6003089999346745,1.2256434015757907
