代码,名称,最新市价,目标权重%,目标手数,当前手数,买卖手数,约需金额,折溢价%,近20日均额(万),方向,提示
513310,中韩半导体ETF华泰柏瑞,5.642,1.54,27,0,27,15233.0,13.79,939725.0,买入,⚠ 折溢价大
588170,科创半导体ETF华夏,2.666,2.02,76,0,76,20262.0,0.04,265069.0,买入,
560780,半导体设备ETF广发,2.926,2.08,71,0,71,20775.0,0.07,57584.0,买入,
515880,通信ETF国泰,1.584,2.2,139,0,139,22018.0,0.03,469189.0,买入,
159994,通信ETF银华,1.446,2.27,157,0,157,22702.0,0.31,25505.0,买入,
159583,通信ETF富国,1.859,2.3,124,0,124,23052.0,0.19,51384.0,买入,
561100,消费电子ETF富国,1.755,2.47,140,0,140,24570.0,-0.03,8321.0,买入,
159779,消费电子ETF招商,1.56,2.47,158,0,158,24648.0,-0.1,2694.0,买入,⚠ 流动性低
562950,消费电子ETF易方达,1.688,2.5,148,0,148,24982.0,-0.05,23619.0,买入,
516050,科技龙头ETF工银,1.438,2.8,195,0,195,28041.0,0.4,1466.0,买入,⚠ 流动性低
561380,电网设备ETF国泰,2.152,3.15,146,0,146,31419.0,-0.08,25275.0,买入,
159320,电网设备ETF广发,2.165,3.17,147,0,147,31826.0,0.0,10155.0,买入,
560980,光伏龙头ETF广发,0.767,3.42,446,0,446,34208.0,0.26,4080.0,买入,
159501,纳指ETF嘉实,2.036,3.94,194,0,194,39498.0,7.62,26261.0,买入,⚠ 折溢价大
159612,标普500ETF国泰,1.941,5.25,271,0,271,52601.0,3.26,5091.0,买入,⚠ 折溢价大
159650,国开债ETF博时,107.651,10.42,10,0,10,107651.0,-0.02,24378.0,买入,
159972,5年地方债ETF鹏华,119.106,12.0,10,0,10,119106.0,-0.02,172060.0,买入,
511810,货币ETF南方,100.013,12.0,12,0,12,120016.0,0.01,1149.0,买入,⚠ 流动性低
511880,银华日利ETF,100.517,12.0,12,0,12,120620.0,-0.01,1577130.0,买入,
511190,信用债ETF海富通,102.125,12.0,12,0,12,122550.0,0.0,78998.0,买入,
