因子,RankIC,ICIR,t值,IC>0占比,多空年化,多空夏普
dvol_rank,-0.1071,-0.82,-9.39,0.191,-0.255,-1.64
corr_vwap_vol,0.0631,0.785,8.99,0.802,0.1764,1.75
dvol_neg,0.0913,0.761,8.71,0.817,0.2288,1.31
pv_corr,0.0449,0.746,8.54,0.786,0.1079,1.4
illiq_rank,0.0628,0.743,8.51,0.786,0.1365,1.39
illiq_neg,-0.0608,-0.709,-8.12,0.252,-0.159,-1.87
illiq_mean5r,0.0564,0.67,7.67,0.74,0.1732,1.86
open_vol,0.0437,0.646,7.39,0.748,0.127,1.48
amihud_d,0.0591,0.61,6.98,0.733,0.2127,1.65
vol_rank,-0.065,-0.549,-6.29,0.267,-0.1628,-0.92
vol_neg,0.0571,0.49,5.61,0.687,0.1341,0.82
hl_rank,-0.0693,-0.484,-5.54,0.275,-0.1174,-0.63
vol_std,0.0796,0.483,5.53,0.71,0.0696,0.42
hl_neg,0.0688,0.483,5.52,0.718,0.0775,0.5
mom20_rank,-0.058,-0.431,-4.94,0.366,-0.2032,-1.21
mom20_neg,0.0575,0.429,4.91,0.641,0.1871,1.05
dvol_z20,-0.0327,-0.409,-4.68,0.336,-0.1292,-1.38
max_pos,0.0408,0.401,4.59,0.634,0.1455,0.94
clo_tsr20,-0.045,-0.4,-4.58,0.336,-0.1618,-1.0
clo_z20,-0.0421,-0.385,-4.41,0.336,-0.1331,-1.05
vol_z20,-0.0277,-0.37,-4.23,0.328,-0.1028,-1.16
illiq_tsr20,0.0262,0.369,4.22,0.679,0.0696,0.8
vol_price,0.0209,0.347,3.97,0.672,0.0351,0.5
clo_tsr10,-0.0357,-0.345,-3.95,0.366,-0.1551,-0.96
dvol_tsr20,-0.027,-0.331,-3.79,0.328,-0.0838,-0.71
clo_d10,-0.0349,-0.314,-3.59,0.351,-0.103,-0.73
mom20_tsr20,-0.0298,-0.307,-3.51,0.412,-0.1279,-0.9
illiq_tsr10,0.0209,0.299,3.42,0.611,0.0876,0.96
rank_low,0.0293,0.297,3.39,0.626,0.0765,0.57
vwgap_tsr20,-0.0221,-0.293,-3.36,0.397,-0.0682,-0.74
mom20_tsr10,-0.0259,-0.282,-3.23,0.443,-0.1194,-0.8
vol_tsr20,-0.021,-0.277,-3.17,0.351,-0.0535,-0.46
illiq_d10,0.0221,0.268,3.07,0.611,0.0725,0.87
clo_rank,-0.0288,-0.266,-3.04,0.412,-0.0419,-0.24
vwgap_d5,-0.0243,-0.265,-3.03,0.405,-0.0713,-0.56
mom20_z20,-0.0244,-0.26,-2.98,0.397,-0.0854,-0.76
vwgap_neg,0.0254,0.259,2.97,0.588,0.1088,0.9
vwgap_rank,-0.0254,-0.258,-2.95,0.42,-0.123,-1.01
ret_rev,0.0285,0.25,2.86,0.588,0.1213,0.85
illiq_z20,0.0195,0.241,2.76,0.595,0.0608,0.69
hl_tsr20,-0.0164,-0.236,-2.7,0.389,-0.0481,-0.55
vwgap_tsr10,-0.0176,-0.23,-2.63,0.435,-0.0696,-0.73
clo_mean5r,-0.0276,-0.229,-2.62,0.405,-0.1324,-0.76
vwgap_z20,-0.0177,-0.218,-2.49,0.435,-0.0504,-0.46
dvol_mean5r,-0.0154,-0.217,-2.49,0.427,-0.0931,-1.01
vol_mean5r,-0.0146,-0.217,-2.48,0.427,-0.0878,-1.0
cogap_neg,0.0236,0.217,2.49,0.565,0.0728,0.57
cogap_rank,-0.0235,-0.216,-2.47,0.443,-0.0975,-0.7
hl_z20,-0.015,-0.215,-2.47,0.405,-0.0687,-0.82
clo_d5,-0.0218,-0.212,-2.42,0.435,-0.0877,-0.67
vwap_mom,-0.0237,-0.212,-2.42,0.405,-0.1143,-0.78
hl_d10,-0.0148,-0.207,-2.37,0.374,-0.0795,-0.7
vwgap_d10,-0.0187,-0.206,-2.35,0.443,-0.0681,-0.53
cogap_d5,-0.0204,-0.206,-2.35,0.412,-0.0713,-0.51
clo_neg,0.02,0.202,2.32,0.557,-0.0048,0.03
dvol_tsr10,-0.0164,-0.202,-2.32,0.427,-0.0643,-0.44
dvol_d10,-0.0147,-0.197,-2.25,0.405,-0.0691,-0.66
high_decay,0.0195,0.195,2.23,0.542,0.0787,0.67
mom20_d10,-0.0198,-0.188,-2.15,0.405,-0.1017,-0.73
mom20_d5,-0.0183,-0.186,-2.12,0.397,-0.0884,-0.64
