因子,RankIC,ICIR,t值,IC>0占比,多空年化,多空夏普
gtja95,-0.0942,-0.841,-9.62,0.191,-0.2009,-1.35
gtja62,0.0473,0.831,9.52,0.802,0.1346,1.81
gtja99,0.0508,0.821,9.4,0.779,0.1555,1.94
gtja70,-0.0905,-0.82,-9.39,0.183,-0.2074,-1.38
gtja16,0.0476,0.792,9.06,0.824,0.1071,1.57
gtja105,0.0413,0.787,9.01,0.802,0.1076,1.48
gtja42,0.0764,0.785,8.98,0.786,0.1627,1.42
gtja140,0.0757,0.781,8.94,0.794,0.1923,1.23
gtja83,0.0502,0.759,8.69,0.771,0.1473,1.86
gtja36,-0.047,-0.743,-8.5,0.206,-0.1052,-1.46
gtja179,-0.0419,-0.739,-8.46,0.229,-0.1242,-1.71
gtja90,0.0405,0.732,8.38,0.786,0.0944,1.41
gtja64,0.0364,0.728,8.33,0.802,0.0785,1.23
gtja176,-0.0379,-0.726,-8.31,0.229,-0.085,-1.34
gtja32,0.0378,0.712,8.15,0.786,0.078,1.09
gtja150,-0.0588,-0.699,-8.0,0.221,-0.1213,-0.91
gtja132,-0.0846,-0.692,-7.92,0.221,-0.1724,-1.05
gtja5,0.0449,0.689,7.89,0.725,0.1176,1.41
gtja144,0.0634,0.665,7.61,0.748,0.227,1.85
gtja139,0.0437,0.646,7.39,0.748,0.127,1.48
gtja74,-0.0425,-0.608,-6.96,0.26,-0.0826,-0.9
gtja1,0.0317,0.579,6.62,0.771,0.064,0.87
gtja15,0.0352,0.571,6.54,0.695,0.1732,1.87
gtja118,-0.056,-0.562,-6.43,0.29,-0.112,-0.81
gtja97,-0.0613,-0.538,-6.15,0.282,-0.1449,-0.83
gtja159,-0.0927,-0.53,-6.07,0.282,-0.1582,-0.64
gtja156,0.0426,0.512,5.86,0.687,0.054,0.56
gtja100,-0.0592,-0.504,-5.77,0.298,-0.1373,-0.76
gtja94,-0.0518,-0.5,-5.73,0.305,-0.107,-0.76
gtja141,0.0198,0.495,5.66,0.672,0.0532,0.91
gtja69,-0.0532,-0.486,-5.56,0.321,-0.1321,-0.88
gtja158,-0.0688,-0.483,-5.52,0.282,-0.1039,-0.5
gtja61,0.037,0.479,5.48,0.687,0.0563,0.59
gtja54,0.0474,0.476,5.45,0.702,0.0875,0.72
gtja167,-0.0598,-0.472,-5.4,0.321,-0.0889,-0.42
gtja84,-0.0451,-0.469,-5.36,0.298,-0.0816,-0.61
gtja107,-0.0321,-0.464,-5.31,0.305,-0.0874,-0.8
