因子,theme,RankIC,ICIR,t值,多空夏普,max|corr价量|
upside_downside_ratio,semivariance,-0.0765,-0.835,-9.56,-1.71,0.5
jump_size_volatility,jump,0.0861,0.824,9.43,1.43,0.58
jump_size_level,jump,0.0888,0.806,9.22,1.39,0.61
volatility_of_volatility,realized-vol,0.0973,0.797,9.12,1.27,0.67
order_density,order-splitting,0.0408,0.72,8.24,1.14,0.22
downside_semivariance_share,semivariance,-0.071,-0.719,-8.23,-1.68,0.59
signed_semivariance_gap,semivariance,-0.071,-0.719,-8.23,-1.68,0.59
avg_order_size_imb,order-splitting,-0.0384,-0.686,-7.85,-1.0,0.21
effective_spread_ratio,adverse-selection,0.0762,0.63,7.21,0.76,0.55
realized_volatility_level,realized-vol,0.0927,0.592,6.77,0.61,0.75
trade_intensity,order-flow,0.0656,0.56,6.41,0.86,0.63
continuous_variance_level,realized-vol,0.0894,0.551,6.31,0.51,0.76
large_order_imb_volatility,dynamics,-0.0676,-0.544,-6.23,-1.06,0.59
large_order_imb_level,informed-trading,-0.0319,-0.342,-3.92,-0.41,0.39
large_small_size_ratio,informed-trading,-0.0236,-0.336,-3.85,-0.28,0.4
volume_imbalance_level,order-flow,-0.0337,-0.329,-3.76,-0.43,0.42
weighting_divergence,order-splitting,-0.041,-0.315,-3.61,-0.49,0.34
rv_trend_acceleration,dynamics,0.0221,0.307,3.51,0.99,0.32
volume_imbalance_stability,dynamics,-0.0401,-0.284,-3.25,-0.43,0.44
num_amount_divergence,order-flow,-0.0215,-0.269,-3.07,0.0,0.41
retail_imbalance_level,adverse-selection,0.0221,0.262,3.0,0.29,0.18
big_order_share_buy,informed-trading,-0.018,-0.246,-2.82,-0.07,0.35
super_large_imbalance,informed-trading,-0.0125,-0.223,-2.55,-0.38,0.24
small_order_num_imb,adverse-selection,0.0138,0.222,2.55,0.27,0.07
vwap_spread_imb,liquidity,-0.0194,-0.221,-2.53,-0.41,0.25
super_large_imbalance_w5,informed-trading,-0.0112,-0.215,-2.46,-0.32,0.13
super_large_num_imb,informed-trading,-0.0103,-0.186,-2.13,-0.39,0.23
order_imbalance_clean,order-flow,-0.0164,-0.174,-1.99,-0.04,0.38
avg_trade_size_imb,order-splitting,-0.0128,-0.17,-1.95,-0.15,0.47
effective_spread_level,liquidity,-0.0221,-0.164,-1.88,-0.42,0.28
jump_direction_bias,jump,0.0285,0.16,1.83,-0.04,0.4
z_statistic_extreme,jump,0.0089,0.117,1.34,1.0,0.1
relative_spread_dynamics,dynamics,0.0161,0.107,1.22,0.21,0.31
jump_relative_variance,jump,0.0084,0.09,1.03,0.8,0.14
retail_imbalance_trend,dynamics,0.0037,0.072,0.83,0.23,0.05
order_imbalance_clean_dyn,dynamics,-0.0036,-0.06,-0.69,-0.11,0.08
time_concentration_premium,liquidity,0.0065,0.047,0.53,-0.06,0.29
relative_spread_quoted,liquidity,0.0059,0.036,0.42,-0.23,0.28
jump_frequency_trend,dynamics,0.0039,0.025,0.28,-0.15,0.06
