因子,code,RankIC,ICIR,t值,多空夏普,max|corr价量|
盈利收益率EP,f_ep,0.0393,0.326,3.73,-0.07,0.35
现金流市值比,f_cfp,0.0342,0.306,3.5,0.07,0.25
盈余含金量,f_gross_cfo,0.0154,0.288,3.3,0.23,0.07
账面市值比BP,f_bp,0.0464,0.281,3.22,0.2,0.41
销售收益率SP,f_sp,0.0306,0.208,2.38,0.09,0.31
ROE质量,f_roe,0.0155,0.188,2.15,-0.04,0.15
应计(负),f_accruals,0.0102,0.157,1.8,0.47,0.03
ROA质量,f_roa,0.0135,0.141,1.62,0.07,0.11
利润增速,f_profit_growth,0.0081,0.136,1.56,-0.11,0.08
资产增长(负),f_asset_growth,0.0014,0.021,0.24,-0.23,0.06
营收增速,f_rev_growth,-0.0001,-0.001,-0.01,-0.06,0.06
