n,因子,复合ICIR
1,max_ret,0.782
2,e_e_lockup,0.885
3,a_research,0.985
4,size,1.173
5,e_e_viol,1.2
6,f_f_accruals,1.201
7,f_f_profit_growth,1.162
8,e_e_earn_mgmt,1.151
9,reversal,1.164
10,illiquidity,1.223
11,f_f_asset_growth,1.193
12,f_f_gross_cfo,1.16
13,a_patent,1.11
14,f_f_roa,1.069
15,b_w52_high,1.058
16,low_turnover,1.081
17,f_f_rev_growth,1.067
18,f_f_roe,1.026
19,ep,0.972
20,b_range_position,0.938
21,f_f_cfp,0.901
22,low_vol,0.862
23,sp,0.826
24,f_f_ep,0.792
25,momentum,0.763
26,f_f_bp,0.736
27,bp,0.709
28,f_f_sp,0.686
