,年化,波动,夏普,回撤,卡玛,胜率,n
"CDaR min(纯), W36, a.05, 3腿",-0.0,0.0,-0.38,-0.0,-30808.19,55.0,82
"CVaR min(纯), W36, a.05, 3腿",-0.0,0.0,-0.38,-0.0,-8317.0,62.0,82
"CDaR floor12%/yr, W36, 3腿",14.0,15.9,0.88,-19.0,0.73,57.0,82
"CDaR floor14%/yr, W36, 3腿",16.4,17.5,0.94,-17.5,0.93,59.0,82
"CDaR floor19%/yr, W36, 3腿",18.3,19.2,0.95,-19.0,0.96,62.0,82
"CVaR floor14%/yr, W36, 3腿",16.1,17.4,0.93,-16.8,0.96,59.0,82
"CVaR floor19%/yr, W36, 3腿",17.9,19.2,0.94,-19.0,0.94,62.0,82
"CDaR cap15%, W36, 3腿",13.2,17.0,0.77,-25.6,0.51,63.0,82
"CDaR cap25%, W36, 3腿",19.8,21.7,0.91,-30.4,0.65,65.0,82
"CDaR floor14%/yr, W24, 3腿",12.4,15.6,0.79,-18.7,0.66,59.0,82
"CDaR floor14%/yr, W48, 3腿",16.5,17.6,0.94,-19.6,0.84,59.0,82
"CDaR floor14%/yr, a.10, 3腿",16.2,17.4,0.93,-17.2,0.94,59.0,82
"CDaR floor14%/yr, W36, 4腿",16.4,17.5,0.94,-17.5,0.93,59.0,82
★基线 LGB多头(同活跃期),22.6,22.8,0.99,-25.6,0.88,65.0,82
★基线 LGB多头(全期2018-),20.9,24.1,0.87,-25.6,0.82,63.0,94
