engine,states,crit,thr,low,off_frac,ann,vol_ann,sharpe,mdd,calmar,d_ann,d_mdd,eff
gmm,2,sharpe,0.5,0.5,0.19,20.5,22.1,0.95,-26.4,0.78,-0.5,-0.8,-1.6
gmm,2,sharpe,0.7,0.5,0.19,20.5,22.1,0.95,-26.4,0.78,-0.5,-0.8,-1.6
hmm,3,sharpe,0.7,0.5,0.15,20.2,22.4,0.94,-26.4,0.77,-0.7,-0.8,-1.142857142857143
hmm,2,sharpe,0.5,0.5,0.18,19.8,22.3,0.92,-26.4,0.75,-1.1,-0.8,-0.7272727272727273
hmm,2,sharpe,0.7,0.5,0.18,19.8,22.3,0.92,-26.4,0.75,-1.1,-0.8,-0.7272727272727273
hmm,3,sharpe,0.5,0.5,0.16,19.7,22.4,0.92,-26.4,0.75,-1.2,-0.8,-0.6666666666666667
gmm,3,ret,0.7,0.5,0.02,20.5,23.8,0.91,-27.6,0.74,-0.4,-2.0,-5.0
gmm,2,sharpe,0.7,0.3,0.19,20.2,21.7,0.96,-27.6,0.73,-0.7,-2.0,-2.857142857142857
gmm,3,sharpe,0.5,0.5,0.04,20.3,23.8,0.9,-27.8,0.73,-0.6,-2.2,-3.666666666666667
gmm,2,sharpe,0.5,0.3,0.19,20.2,21.7,0.96,-27.6,0.73,-0.7,-2.0,-2.857142857142857
gmm,3,sharpe,0.7,0.5,0.03,20.4,23.8,0.9,-27.8,0.73,-0.5,-2.2,-4.4
hmm,3,sharpe,0.7,0.3,0.15,19.9,22.1,0.93,-27.6,0.72,-1.0,-2.0,-2.0
hmm,3,sharpe,0.5,0.3,0.16,19.2,22.0,0.91,-27.6,0.7,-1.7,-2.0,-1.1764705882352942
hmm,2,sharpe,0.7,0.3,0.18,19.2,22.0,0.91,-27.6,0.7,-1.7,-2.0,-1.1764705882352942
hmm,2,sharpe,0.5,0.3,0.18,19.2,22.0,0.91,-27.6,0.7,-1.7,-2.0,-1.1764705882352942
gmm,3,ret,0.7,0.3,0.02,20.3,23.7,0.9,-29.2,0.69,-0.6,-3.6,-6.0
gmm,3,sharpe,0.7,0.3,0.03,20.2,23.7,0.9,-29.5,0.68,-0.7,-4.0,-5.714285714285714
gmm,3,ret,0.5,0.5,0.04,18.8,22.7,0.88,-27.6,0.68,-2.1,-2.0,-0.9523809523809523
gmm,3,sharpe,0.5,0.3,0.04,20.0,23.7,0.89,-29.5,0.68,-0.9,-4.0,-4.444444444444445
gmm,2,sharpe,0.7,0.0,0.19,19.6,21.5,0.94,-29.4,0.67,-1.3,-3.9,-3.0
gmm,2,sharpe,0.5,0.0,0.19,19.6,21.5,0.94,-29.4,0.67,-1.3,-3.9,-3.0
hmm,3,sharpe,0.7,0.0,0.15,19.3,21.9,0.92,-29.4,0.65,-1.6,-3.9,-2.4375
gmm,3,ret,0.7,0.0,0.02,20.0,23.7,0.89,-31.6,0.63,-0.9,-6.1,-6.777777777777777
gmm,3,sharpe,0.7,0.0,0.03,19.9,23.7,0.89,-32.1,0.62,-1.0,-6.6,-6.6
hmm,3,sharpe,0.5,0.0,0.16,18.3,21.8,0.88,-29.4,0.62,-2.6,-3.9,-1.5
hmm,2,sharpe,0.7,0.0,0.18,18.3,21.8,0.88,-29.4,0.62,-2.6,-3.9,-1.5
hmm,2,sharpe,0.5,0.0,0.18,18.3,21.8,0.88,-29.4,0.62,-2.6,-3.9,-1.5
gmm,3,sharpe,0.5,0.0,0.04,19.6,23.7,0.88,-32.1,0.61,-1.3,-6.6,-5.076923076923077
gmm,3,ret,0.5,0.3,0.04,17.9,22.5,0.85,-29.2,0.61,-3.0,-3.6,-1.2
hmm,3,ret,0.7,0.5,0.31,15.7,22.2,0.77,-26.6,0.59,-5.3,-1.1,-0.2075471698113208
hmm,3,ret,0.5,0.5,0.33,15.7,21.9,0.78,-26.6,0.59,-5.2,-1.1,-0.21153846153846154
gmm,3,ret,0.5,0.0,0.04,16.5,22.4,0.8,-31.6,0.52,-4.4,-6.1,-1.3863636363636362
hmm,3,ret,0.5,0.3,0.33,13.6,21.5,0.7,-27.9,0.49,-7.3,-2.3,-0.3150684931506849
hmm,3,ret,0.7,0.3,0.31,13.5,21.8,0.69,-27.9,0.48,-7.4,-2.3,-0.31081081081081074
hmm,3,ret,0.7,0.0,0.31,10.3,21.6,0.56,-30.0,0.34,-10.6,-4.5,-0.42452830188679247
hmm,3,ret,0.5,0.0,0.33,10.3,21.3,0.57,-30.0,0.34,-10.6,-4.5,-0.42452830188679247
