,基线LGB多头,"CDaR floor12%/yr, W36, 3腿","CDaR floor19%/yr, W36, 3腿","CVaR floor19%/yr, W36, 3腿"
2019-02-28,1.1113867866332168,1.0948290018969016,1.0598397339340897,1.0598397339340897
2019-03-29,1.0816630596036667,1.079314739919743,1.0361539295827473,1.036153929544372
2019-04-30,1.0665326548419993,1.0697930308934698,1.0216876616963486,1.0216876577760623
2019-05-31,1.0862633573414966,1.0837728523440309,1.0403169338686309,1.040316932986546
2019-06-28,1.0819960675139924,1.0807839460290105,1.036287857679586,1.0362878561498203
2019-07-31,1.0575092403311164,1.0622775186146032,1.0131679627705679,1.0131679569053833
2019-08-30,1.0780687240389666,1.0804608562082525,1.032579750955825,1.0325797476331688
2019-09-30,1.0815633465560304,1.0834176935735162,1.0358792925716642,1.0358792897494646
2019-10-31,1.0583028171061353,1.0627169964531502,1.0139172395739933,1.0139172334041846
2019-11-29,1.141489353857079,1.1366237707358395,1.092460040272971,1.0924600451927924
2019-12-31,1.126130666431883,1.1245884479391246,1.0779587234406318,1.077958725779321
2020-01-23,1.1133197867822673,1.1135671266203087,1.065862987675479,1.0658629863006375
2020-02-28,1.133505141220349,1.1322792778471562,1.0849215316688472,1.0849215319362917
2020-03-31,1.1684325104473063,1.163865476988952,1.117899144478162,1.1178991487565997
2020-04-30,1.2125062982815227,1.199729870234986,1.1580799685962766,1.158079977792212
2020-05-29,1.2901861972949187,1.2601408264238412,1.2313414923608736,1.2313415113837214
2020-06-30,1.4817821415336287,1.388681365139023,1.4120170127047686,1.412017057943131
2020-07-31,1.5736010450190603,1.4333173554976917,1.4840829817278267,1.4840830292277016
2020-08-31,1.4824841371278872,1.3929338619380083,1.4179004238732118,1.4179004682120184
2020-09-30,1.506838228144337,1.405491013135695,1.4381570907844612,1.438157135749498
2020-10-30,1.5363773794415176,1.4207894124687812,1.462947073772217,1.4629471195205968
2020-11-30,1.4914759599458127,1.3977814153193453,1.4254449146806003,1.4254449593078398
2020-12-31,1.3661849187889814,1.3272420608753657,1.311559153707397,1.3115591944240415
2021-01-29,1.3900422840533624,1.3438581017449287,1.3332222344047497,1.3332222759686678
2021-02-26,1.419512781759501,1.364359038319143,1.359982178888822,1.3599822215222548
2021-03-31,1.4781562294851136,1.4130897674331604,1.4132318871521186,1.4132319314978214
2021-04-30,1.5561064843302286,1.4671582131842107,1.4840126562010045,1.4840127029366672
2021-05-31,1.6396566678474322,1.5210371962685403,1.5598782996825422,1.5598783488919028
2021-06-30,1.6228601533292624,1.512519925094468,1.5462787216089184,1.5462787707554286
2021-07-30,1.7092888233096069,1.5570125062192333,1.6183017782875573,1.6183018298421847
2021-08-31,1.618863659800974,1.51897214567111,1.555724109739897,1.5557241603063658
2021-09-30,1.6058882593515942,1.5128402810228603,1.5457966443433595,1.5457966944870576
2021-10-29,1.8034487206952703,1.597260346746813,1.682370730122908,1.6823707844843339
2021-11-30,1.8090016624131677,1.5993474303563067,1.6858898552488168,1.6858899082361158
2021-12-31,1.6267918405606623,1.5311124586499054,1.5720059809171583,1.5720060297019889
2022-01-28,1.6726060172254098,1.551225055493298,1.6047278626721093,1.6188517373971323
2022-02-28,1.581779228486819,1.4972434123636669,1.539563580635645,1.5543188855194325
2022-03-31,1.346449087292706,1.2947011108301192,1.3707244098119682,1.3789657547186014
2022-04-29,1.5294829246729564,1.4465751760870453,1.502043250436293,1.5011834716378176
2022-05-31,1.6742317939661624,1.557330650415685,1.6058942868267028,1.6033440753747745
2022-06-30,1.7928355174454698,1.5986395333550425,1.6909873146451553,1.6554960793759974
2022-07-29,1.7525576568738053,1.5756547876652043,1.6532229092890018,1.6180702004089615
2022-08-31,1.6272493555978893,1.4841286074723783,1.535837673295205,1.5031809420474236
2022-09-30,1.704831621388945,1.5316375691068067,1.6064283825770584,1.5722706715512713
2022-10-31,1.7896240010008546,1.5902047912035542,1.6882416781716076,1.6523443590364781
2022-11-30,1.7050612048928857,1.5481753661090836,1.613202029816911,1.578900289127491
2022-12-30,1.8770364981282872,1.6604602689218297,1.7657751937694879,1.7282292687416059
2023-01-31,1.9606664980502964,1.7045373658796426,1.8415659455191444,1.8024084711261936
2023-02-28,1.9289182684113844,1.6786354403753678,1.8100860855317698,1.7715979717949175
2023-03-31,1.8549348799130927,1.6744018413020516,1.7549687263016012,1.7176525805786773
2023-04-28,1.9165382893059162,1.6670605422929434,1.7975811543679354,1.7593589347311869
2023-05-31,1.988188667020853,1.6683615521414403,1.8499197414278867,1.8105846391966822
2023-06-30,2.073957879260305,1.7714492681677176,1.9380784015290613,1.8968687693298267
2023-07-31,2.055305806408324,1.7224993678625646,1.9039137282151493,1.863430544353822
2023-08-31,2.070847402850715,1.7344483191273647,1.9177488798763946,1.8769715172558654
