method,variant,cap,ann,vol,sharpe,mdd,calmar,turnover_scale,mean_expo
CVS,target=20%,1.0,0.1790718959860358,0.2085672616266486,0.858581038027858,-0.23108824647313853,0.7749069834534009,0.05533085295282195,0.850243470988353
CVS,target=16%,1.0,0.15799059618336986,0.1871163689826129,0.8443440680384865,-0.22488488832871156,0.7025398520884022,0.07053405872396233,0.7646280634331837
DVS-GARCH,tv=20%,1.0,0.17879784970874502,0.2261734624370692,0.7905341669272714,-0.2556949419844242,0.6992623644453497,0.01200692798118,0.9314391366133111
DVS-GARCH,tv=16%,1.5,0.15717944423501717,0.2055683842375292,0.7646090366376582,-0.22997587431819178,0.6834605790759845,0.018974946940935992,0.8421183071743251
DVS-EWMA,"lam=0.94,tv=16%",1.5,0.13038220671369793,0.15635249353975503,0.8338991196232266,-0.19078976018701665,0.6833815744927516,0.02519623998204596,0.6151170994565472
DVS-EWMA,"lam=0.94,tv=16%",1.0,0.13038220671369793,0.15635249353975503,0.8338991196232266,-0.19078976018701665,0.6833815744927516,0.02519623998204596,0.6151170994565472
DVS-GARCH,tv=16%,1.0,0.1568227676086278,0.20512298796219874,0.7645304369178163,-0.22997587431819178,0.6819096484514273,0.017217533484906924,0.8410375984384489
DVS-EWMA,"lam=0.8,tv=20%",1.0,0.16468475775821134,0.20563585472377768,0.800856241628804,-0.24231926352408806,0.6796189265482835,0.06316867193628851,0.8165095935631831
DVS-EWMA,"lam=0.94,tv=20%",1.0,0.15771917055797657,0.19335986120095755,0.8156768916691565,-0.2351428600156058,0.6707376551748548,0.02865037696923868,0.7661592581516751
DVS-EWMA,"lam=0.94,tv=20%",1.5,0.1574477013124751,0.19357078160992916,0.8133856773371568,-0.2351428600156058,0.6695831687257088,0.028807127934546706,0.7662367998525988
DVS-EWMA,"lam=0.8,tv=16%",1.0,0.14625680369469785,0.17928106955167994,0.815796135422639,-0.21958843107900217,0.6660496774626459,0.07069428757580885,0.6962519747048085
CVS,target=20%,1.5,0.20985799094026936,0.2469799628283062,0.8496964228881878,-0.31629377083781085,0.6634907490728938,0.1065635680455762,1.0057151149836148
DVS-EWMA,"lam=0.9,tv=20%",1.0,0.1627433879023119,0.19990805963280187,0.8140911787210814,-0.2476881323139173,0.6570495985494076,0.04048625379495784,0.796955821151389
DVS-EWMA,"lam=0.9,tv=16%",1.0,0.13349554459872315,0.16653814377158327,0.8015914046803598,-0.2039528095468266,0.6545413367697355,0.04030129343103882,0.6477558379137293
DVS-EWMA,"lam=0.9,tv=16%",1.5,0.13349554459872315,0.16653814377158327,0.8015914046803598,-0.2039528095468266,0.6545413367697355,0.04030129343103882,0.6477558379137293
DVS-GARCH,tv=20%,1.5,0.17981045751972435,0.23354158264569935,0.7699290870718759,-0.27851396746538326,0.645606606936412,0.02249773543203456,0.9569032031168427
DVS-EWMA,"lam=0.9,tv=20%",1.5,0.1607671132055346,0.2064259688527643,0.7788124435070648,-0.2545508180210705,0.6315717798723675,0.04768844474578778,0.8070352229240766
MM,k=3,1.5,0.13782743019463717,0.1710393804867719,0.8058227865558522,-0.22997587431819178,0.599312560951245,0.2492527717097145,0.6020683765353065
CVS,target=12%,1.0,0.12641113955998162,0.16284275947596732,0.7762773117255953,-0.21128120087699676,0.5983075590032044,0.07859811787577518,0.6472899047185534
DVS-EWMA,"lam=0.8,tv=16%",1.5,0.14549049959905358,0.18785866852782107,0.7744678525575042,-0.25806512267299775,0.5637743608748287,0.08445876431434375,0.7090916141856689
CVS,target=16%,1.5,0.16933035057126844,0.22101690493481124,0.7661420768751254,-0.313379808399879,0.5403358673166315,0.11913440806375755,0.861307958133231
DVS-EWMA,"lam=0.8,tv=20%",1.5,0.1737210946383414,0.23305019034277322,0.7454235260774951,-0.3215178844795372,0.5403154941740037,0.1009913542354187,0.8827680527977858
CVS,target=12%,1.5,0.1275646986386827,0.18197672423959704,0.7009945869270977,-0.2669916068017535,0.477785426166606,0.11541431983296578,0.6871129673258702
MM,k=3,1.0,0.09695939888422944,0.1432825313767074,0.6767007670272885,-0.22997587431819178,0.4216068279843894,0.16739578655044526,0.4970478939517296
MM,k=2,1.5,0.08971670097693552,0.16858133690118765,0.5321864366844007,-0.24075113060032582,0.37265329036346423,0.4032756856450047,0.3907779973733159
MM,k=2,1.0,0.0663395452573885,0.1278831366963184,0.5187513144514412,-0.22997587431819178,0.2884630635890177,0.2656051371772707,0.31746665664391305
MM,k=1,1.0,0.02521687940675621,0.1690366458955124,0.14917995605724255,-0.30528706116173077,0.0826005508087916,0.34002577764079756,0.35764042760706577
MM,k=1,1.5,0.013171162432477068,0.22693385652737247,0.05803965364193412,-0.4328981755840614,0.030425543870002875,0.4613896780773714,0.42984088229431444
