,① base 微盘多头,② +分行业中性,③ +CDaR减震,④ +行业中性+CDaR
2020-01-23,0.988623984736863,0.9884221774713506,0.9781169238415478,0.9780496547530437
2020-02-28,1.0065485072099416,0.9999645828277136,0.9800274443483692,0.9778338898232601
2020-03-31,1.0375638860359386,1.0271858062022288,0.9921578487030764,0.9887002214887712
2020-04-30,1.0767012518390235,1.0589728581329558,1.0076161420983754,1.0017096616228647
2020-05-29,1.1456807240520686,1.1215831908143172,1.0415052682864279,1.0334768249018917
2020-06-30,1.315817236581096,1.2727813066869496,1.14003665738492,1.125698637241895
2020-07-31,1.3973520941446127,1.3375146474957549,1.1924106665641243,1.1759056612488061
2020-08-31,1.3164406061555014,1.2563107556690312,1.1448719646117462,1.1174116755042032
2020-09-30,1.3380669517851922,1.2643072122441572,1.1596094740155778,1.124122384565777
2020-10-30,1.3642976123805337,1.2960403242102774,1.1775576197984303,1.1518626165091272
2020-11-30,1.3244253126251475,1.2619146128078986,1.1505583903362206,1.1228251346647709
2020-12-31,1.2131673166469252,1.1652764134044076,1.0679986187912902,1.0406890436995746
2021-01-29,1.2343525715871646,1.1879271388892279,1.0837017867875367,1.0599406653184897
2021-02-26,1.2605222680394557,1.213510289565465,1.104267843539987,1.0816846547977101
2021-03-31,1.3125974396635647,1.238189164155684,1.1453052428789012,1.102660069289833
2021-04-30,1.3818169868872436,1.3076385445829979,1.200141041997735,1.1616874587017274
2021-05-31,1.4560092507227809,1.3574740285723885,1.2551078269006042,1.2058974918207224
2021-06-30,1.441094005965803,1.3558806961411438,1.2463493569325734,1.204531602490036
2021-07-30,1.5178423554750051,1.4477571769730617,1.2920884962127694,1.269237981261959
2021-08-31,1.4375451340209948,1.395439039362258,1.2527003314570997,1.2399759580183574
2021-09-30,1.4260230248766874,1.3788862011246428,1.2463948044473927,1.2300413753939898
2021-10-29,1.6014560072406625,1.5243113057142272,1.3331926881315042,1.3091545111005847
2021-11-30,1.6063869996054219,1.5629396266419167,1.3353772576428624,1.3288047733501434
2021-12-31,1.4445853301509948,1.4198900418187972,1.2642693372872322,1.261194268515767
2022-01-28,1.4852681550046225,1.4667996782227637,1.285000826929651,1.286430961665378
2022-02-28,1.4046142917843152,1.413010866600302,1.229229794639233,1.247490601133245
2022-03-31,1.1956419689367803,1.2215038035007095,1.085436638239116,1.109813377738238
2022-04-29,1.3581753612296912,1.377143603956737,1.1972753218346133,1.2217051016505687
2022-05-31,1.4867118389297782,1.4970144114958364,1.285720842217259,1.307881974841478
2022-06-30,1.5920315207524038,1.5626271905541829,1.3551810595718388,1.3589195154132754
2022-07-29,1.5562649247682239,1.5367027308618633,1.3315792501867094,1.3404340574230527
2022-08-31,1.4449916018660494,1.4335567169451429,1.2469540253127278,1.2673143177279136
2022-09-30,1.5138843761272043,1.4927678513294143,1.2974020007423397,1.3171582769282562
2022-10-31,1.5891797056475094,1.5807356945121531,1.3592814846983865,1.3854689131457303
2022-11-30,1.5140882454567448,1.5203179967314704,1.3129632264519382,1.3448987351019352
2022-12-30,1.6668016901410112,1.6543764163866093,1.4360559986246615,1.4585083144372097
2023-01-31,1.7410648306582557,1.7316808269164694,1.483885279350671,1.5094942609308242
2023-02-28,1.7128725164044352,1.7083361935191164,1.4569708970101938,1.4824941330792978
2023-03-31,1.6471755322944952,1.660088432883669,1.4458438250251984,1.4728397954641668
2023-04-28,1.7018791392817842,1.7156496315528924,1.4527780853278796,1.4796889206409125
2023-05-31,1.765504418168789,1.7767139275362909,1.4719493121869878,1.4971524818288364
2023-06-30,1.8416671715650794,1.8394656606716582,1.5484872621642969,1.5704970376826566
2023-07-31,1.8251041976509779,1.8093392429103001,1.507827426746883,1.5204611767734206
2023-08-31,1.8389050796495423,1.8222032132808677,1.5183319003077864,1.530597559211665
2023-09-28,1.8520673715188145,1.8268350479890847,1.513168713929759,1.5199042520499937
2023-10-31,1.968372198762365,1.9479622812236872,1.6289811558928362,1.6414898798002253
2023-11-30,1.9854379572392475,1.948627907213239,1.6239134086897804,1.638532297819334
2023-12-29,1.5860684905002305,1.5824673599939196,1.3333731937221747,1.3816262941457809
